iter	AUC	Logloss
0	0.5611117333	0.6507246523
1	0.5860854983	0.6143619688
2	0.616618529	0.5835879738
3	0.6513071358	0.556948282
4	0.6620407999	0.5345790967
5	0.6760289669	0.5151181614
6	0.6783049703	0.4984177799
7	0.6835552156	0.4840222549
8	0.6954451501	0.4719504437
9	0.701320976	0.4615181309
10	0.7051901519	0.4526864119
11	0.709915638	0.4450123468
12	0.7168183327	0.4383015987
13	0.7176512778	0.4323879116
14	0.7167157233	0.4272760835
15	0.7216038704	0.4228829121
16	0.724332124	0.4189741516
17	0.7261420488	0.4155730478
18	0.72914958	0.412648507
19	0.7267163396	0.4099034258
20	0.7260531187	0.4075704136
21	0.7269923389	0.4055008816
22	0.7270582318	0.4036538052
23	0.7279419303	0.4020236052
24	0.7323460281	0.4005582105
25	0.7323114574	0.399175795
26	0.7317945659	0.3979334881
27	0.7349745631	0.3968435639
28	0.7348206937	0.3957965984
29	0.7349956036	0.3948612511
30	0.7348394394	0.3939440916
31	0.7344623208	0.3931744423
32	0.7342318594	0.392459133
33	0.7384344339	0.3917108701
34	0.7405859232	0.3910447309
35	0.7410213053	0.3903503989
36	0.7447478175	0.3896806147
37	0.7457482815	0.3890737994
38	0.7470699251	0.3885064095
39	0.7493579984	0.3879517026
40	0.7523713112	0.387457138
41	0.7542625964	0.3869782691
42	0.7567977011	0.3864307034
43	0.7591897547	0.3859274726
44	0.7600878775	0.3854334658
45	0.7622796893	0.3849414675
46	0.7631136775	0.3844407287
47	0.7640903294	0.3839682199
48	0.7635251582	0.3835534357
49	0.7645411491	0.3831371638
50	0.7645065486	0.3826892773
51	0.7658905089	0.3822621076
52	0.7672918439	0.3818435297
53	0.7684648335	0.3814060201
54	0.7692787349	0.3809913847
55	0.7711966336	0.3805462877
56	0.7718671858	0.3801750946
57	0.7730233669	0.3798118609
58	0.7748174071	0.3793957749
59	0.7748647034	0.3790281896
60	0.7743325531	0.3786916981
61	0.7751689553	0.3782827162
62	0.7758827507	0.3779168417
63	0.7766001821	0.3775616047
64	0.7772334814	0.377188961
65	0.7779823244	0.3768301533
66	0.7799875736	0.376444529
67	0.77930516	0.3760846799
68	0.7808708847	0.3757189171
69	0.7813534141	0.3753313215
70	0.7822602689	0.3749687945
71	0.7834030688	0.3746076808
72	0.7834867835	0.3742606636
73	0.7845273912	0.3739137207
74	0.7843878567	0.3735628353
75	0.7848263681	0.3732148883
76	0.7856780589	0.3728374094
77	0.7864806652	0.3725194404
78	0.78623119	0.3722285485
79	0.7867422104	0.3718818288
80	0.7866663635	0.3715419527
81	0.7876170278	0.3711992499
82	0.7879314721	0.3708576258
83	0.7885754704	0.3705487321
84	0.7896560431	0.3702300192
85	0.7899548709	0.3699063968
86	0.7904418409	0.3695821049
87	0.7906718254	0.3692868241
88	0.7907086015	0.3689981266
89	0.7915720046	0.3686446749
90	0.7921307385	0.3683285284
91	0.7920069993	0.3680146136
92	0.7929714322	0.3676792751
93	0.793358624	0.3674000992
94	0.7935132384	0.3671274322
95	0.7937531471	0.3668230761
96	0.7947612107	0.3664571645
97	0.7949352264	0.3661676115
98	0.7956769466	0.3658734093
99	0.7966890037	0.3656017837
100	0.797273159	0.3652999196
101	0.7979572415	0.3649936667
102	0.79812181	0.3646462403
103	0.7991321087	0.3643374954
104	0.7991889715	0.3640619644
105	0.8002592921	0.3637471941
106	0.8010838628	0.3634584594
107	0.8012082577	0.3631941238
108	0.8015916944	0.3629125302
109	0.8021166921	0.3626239071
110	0.8025794327	0.3623355443
111	0.8027996421	0.362072808
112	0.8032302558	0.3617762254
113	0.8037134111	0.3614980165
114	0.8040532768	0.3612201424
115	0.8046535254	0.3609604188
116	0.8055688739	0.3606747711
117	0.8059363663	0.3603753246
118	0.8062327206	0.3601176095
119	0.8065891266	0.3598635021
120	0.806586355	0.3596474811
121	0.8072773814	0.3593664454
122	0.8076017201	0.3590699001
123	0.8082135916	0.3588269136
124	0.8090493977	0.3585522009
125	0.8093108237	0.3582752566
126	0.8090519309	0.3580218559
127	0.8095088303	0.3577682692
128	0.8102077842	0.3574726165
129	0.8107745945	0.3572044127
130	0.8113905191	0.3569613519
131	0.8117221594	0.3567105547
132	0.8121192753	0.3564746351
133	0.8125402629	0.3561842267
134	0.8129050434	0.3559445132
135	0.8131171465	0.3557187475
136	0.8132019937	0.3554759098
137	0.8137487769	0.3551946882
138	0.8141914904	0.3549531523
139	0.814466536	0.3547037313
140	0.8152829409	0.3544469088
141	0.8157915473	0.3541949959
142	0.8158140779	0.3539741025
143	0.8158862889	0.3537102875
144	0.8165259957	0.3534659249
145	0.8162794113	0.3532580121
146	0.8168342113	0.3529949039
147	0.8167281449	0.3528049928
148	0.816809833	0.3525726066
149	0.8167178631	0.352320582
150	0.8170815706	0.3520998374
151	0.8176665902	0.3518425314
152	0.8180059791	0.3516041198
153	0.8187943101	0.3513470369
154	0.8192299008	0.3511137952
155	0.8196788132	0.3508521747
156	0.8201272488	0.3506013031
157	0.8206253946	0.3503460428
158	0.8207879663	0.350126228
159	0.8210386038	0.349905223
160	0.8214349747	0.3496746221
161	0.8215428889	0.3494623948
162	0.8221564889	0.3492305292
163	0.8226016164	0.3489939773
164	0.8226146698	0.3487780307
165	0.8225945532	0.3485739488
166	0.8226632476	0.3483455795
167	0.8231022358	0.3481205576
168	0.82351017	0.3479062475
169	0.8242536187	0.3476665341
170	0.8246118724	0.3474467565
171	0.824875921	0.3472383974
172	0.8249936402	0.3470220044
173	0.8252549171	0.3468008506
174	0.8254829347	0.3465900367
175	0.8259721398	0.3463522946
176	0.8263936043	0.3461483615
177	0.8268436193	0.3459442425
178	0.827005744	0.345720262
179	0.8276493251	0.3455072537
180	0.8280832767	0.345307821
181	0.8286690712	0.345089308
182	0.8287357092	0.344919556
183	0.8289669752	0.3447331783
184	0.8287832141	0.3444945807
185	0.8290887475	0.3442735386
186	0.8295222521	0.3440815075
