iter	Passed	Remaining
0	132	13201340
1	213	10692402
2	287	9589984
3	365	9128593
4	437	8743803
5	507	8452005
6	586	8375434
7	657	8216729
8	733	8150660
9	806	8060627
10	885	8051939
11	963	8030481
12	1036	7968395
13	1117	7982869
14	1194	7960294
15	1269	7935233
16	1352	7953554
17	1419	7883754
18	1492	7855956
19	1571	7855162
20	1653	7870826
21	1732	7872555
22	1803	7840646
23	1875	7814041
24	1950	7800898
25	2034	7824668
26	2117	7839249
27	2198	7849072
28	2273	7836884
29	2349	7830358
30	2426	7825207
31	2515	7858121
32	2585	7832032
33	2662	7827169
34	2735	7813966
35	2812	7809207
36	2884	7794053
37	2962	7793083
38	3039	7789833
39	3114	7781989
40	3191	7781428
41	3276	7798837
42	3349	7786118
43	3431	7796257
44	3505	7786573
45	3581	7783136
46	3658	7779586
47	3743	7795071
48	3819	7790630
49	3898	7794070
50	3979	7798826
51	4053	7790645
52	4138	7803760
53	4213	7799336
54	4286	7788862
55	4363	7788130
56	4446	7796170
57	4525	7798504
58	4597	7787061
59	4675	7788198
60	4761	7801379
61	4831	7788269
62	4911	7791369
63	4988	7789392
64	5067	7790549
65	5144	7789753
66	5225	7793457
67	5311	7806352
68	5393	7811814
69	5464	7800721
70	5540	7798660
71	5618	7797344
72	5690	7789616
73	5765	7785402
74	5841	7783114
75	5910	7770686
76	5990	7773543
77	6057	7760506
78	6139	7764765
79	6209	7755892
80	6290	7759457
81	6365	7756484
82	6444	7757542
83	6524	7760238
84	6602	7760936
85	6671	7750517
86	6747	7749431
87	6819	7742318
88	6895	7741181
89	6971	7739310
90	7040	7729643
91	7118	7730484
92	7198	7733292
93	7270	7727277
94	7350	7730518
95	7428	7731057
96	7505	7729989
97	7577	7725060
98	7653	7723100
99	7721	7714156
100	7797	7712286
101	7867	7705235
102	7943	7704203
103	8016	7699809
104	8093	7699993
105	8168	7697835
106	8243	7695806
107	8323	7698881
108	8402	7699986
109	8481	7702263
110	8559	7702819
111	8637	7703325
112	8719	7707736
113	8798	7709153
114	8868	7703145
115	8940	7698155
116	9018	7698763
117	9090	7694347
118	9168	7695157
119	9249	7698316
120	9330	7701948
121	9412	7705507
122	9489	7705750
123	9567	7705908
124	9645	7706931
125	9724	7708225
126	9797	7704990
127	9876	7705778
128	9950	7703322
129	10023	7699995
130	10097	7697887
131	10171	7695639
132	10253	7698950
133	10326	7696258
134	10399	7692975
135	10479	7694898
136	10553	7692522
137	10629	7692188
138	10709	7693745
139	10786	7693970
140	10855	7688131
141	10935	7689952
142	11011	7689162
143	11089	7690154
144	11167	7690889
145	11253	7696286
146	11327	7694711
147	11408	7697277
148	11486	7697706
149	11564	7698428
150	11642	7698894
151	11723	7700834
152	11799	7700091
153	11873	7698060
154	11948	7696940
155	12024	7696168
156	12093	7690862
157	12167	7689000
158	12241	7686980
159	12320	7687980
160	12400	7689981
161	12485	7694638
162	12557	7691729
163	12631	7689340
164	12702	7685962
165	12778	7684946
166	12855	7685267
167	12940	7689740
168	13018	7690494
169	13096	7690690
170	13179	7694282
171	13251	7691310
172	13322	7687465
173	13405	7691053
174	13487	7693622
175	13560	7691356
176	13636	7690672
177	13741	7706288
178	13824	7709496
179	13901	7709160
180	13978	7708715
181	14052	7707076
182	14131	7708242
183	14208	7707973
184	14282	7705946
185	14352	7702003
186	14437	7705943
187	14513	7705697
188	14586	7702989
189	14659	7700843
190	14738	7701726
191	14816	7702076
192	14886	7698359
193	14964	7698895
194	15040	7698262
195	15117	7698006
196	15202	7701725
197	15282	7703080
198	15364	7705540
199	15444	7706845
200	15515	7703525
201	15596	7705612
202	15675	7706012
203	15749	7704409
204	15828	7705424
205	15924	7714325
206	15998	7712746
207	16075	7712688
208	16155	7713768
209	16233	7714000
210	16309	7713420
211	16391	7715320
212	16474	7717826
213	16552	7718167
214	16628	7717788
215	16709	7719080
216	16783	7717326
217	16858	7716482
218	16936	7716432
219	17009	7714492
220	17093	7717639
221	17185	7724129
222	17259	7722590
223	17340	7723798
224	17425	7727230
225	17500	7726030
226	17574	7724634
227	17656	7726473
228	17733	7726049
229	17814	7727659
230	17891	7727343
231	17971	7728302
232	18041	7725289
233	18122	7726572
234	18199	7726180
235	18272	7724247
236	18348	7723786
237	18431	7725830
238	18515	7728680
239	18589	7727069
240	18671	7728913
241	18747	7727975
242	18818	7725618
243	18889	7722707
244	18972	7724827
245	19052	7725977
246	19134	7727657
247	19217	7729923
248	19295	7729732
249	19378	7732144
250	19462	7734430
251	19537	7733369
252	19620	7735508
253	19699	7736122
254	19769	7732836
255	19845	7732465
256	19914	7728904
257	19985	7726290
258	20067	7728151
259	20146	7728515
260	20217	7725918
261	20284	7721786
262	20364	7722796
263	20448	7725258
264	20534	7728225
265	20613	7728650
266	20696	7730752
267	20778	7732415
268	20848	7729343
269	20926	7729563
270	21011	7732489
271	21091	7733075
272	21170	7733414
273	21252	7735020
274	21332	7735843
275	21411	7736405
276	21488	7736191
277	21563	7735183
278	21644	7736086
279	21719	7735307
280	21795	7734767
281	21880	7737127
282	21960	7737818
283	22031	7735512
284	22115	7737841
285	22193	7737650
286	22262	7734789
287	22346	7736731
288	22429	7738563
289	22511	7740024
290	22588	7739670
291	22660	7737917
292	22740	7738517
293	22822	7739796
294	22893	7737767
295	22973	7738301
296	23050	7738175
297	23180	7755385
298	23267	7758352
299	23352	7760788
300	23439	7763894
301	23530	7767940
302	23607	7767628
303	23685	7767473
304	23755	7764992
305	23839	7766903
306	23917	7766771
307	23990	7765053
308	24069	7765388
309	24145	7764857
310	24222	7764492
311	24297	7763444
312	24376	7763646
313	24464	7766753
314	24539	7765769
315	24626	7768532
316	24705	7768949
317	24785	7769488
318	24859	7768241
319	24944	7770225
320	25027	7771730
321	25110	7773259
322	25186	7772502
323	25267	7773248
324	25343	7772713
325	25417	7771305
326	25502	7773528
327	25586	7775150
328	25674	7778099
329	25750	7777311
330	25831	7778226
331	25902	7775969
332	25978	7775506
333	26052	7774233
334	26133	7774995
335	26211	7774905
336	26291	7775468
337	26371	7775926
338	26446	7774964
339	26515	7772293
340	26591	7771418
341	26663	7769678
342	26745	7770706
343	26826	7771466
344	26904	7771472
345	26979	7770534
346	27060	7771272
347	27137	7771058
348	27220	7772396
349	27297	7772114
350	27376	7772214
351	27454	7772085
352	27527	7770637
353	27610	7771972
354	27687	7771577
355	27761	7770469
356	27840	7770541
357	27913	7769035
358	28008	7773678
359	28094	7776059
360	28177	7777207
361	28257	7777676
362	28335	7777632
363	28421	7779768
364	28500	7779910
365	28572	7778122
366	28652	7778512
367	28723	7776576
368	28797	7775462
369	28874	7774951
370	28948	7773830
371	29022	7772835
372	29103	7773331
373	29183	7773903
374	29260	7773478
375	29335	7772727
376	29413	7772465
377	29489	7771937
378	29567	7771910
379	29643	7771224
380	29721	7771095
381	29797	7770539
382	29868	7768815
383	29949	7769420
384	30027	7769314
385	30103	7768750
386	30177	7767596
387	30252	7766664
388	30330	7766778
389	30407	7766322
390	30484	7765964
391	30563	7766181
392	30642	7766556
393	30715	7764985
394	30797	7766105
395	30881	7767600
396	30963	7768425
397	31046	7769634
398	31121	7768724
399	31197	7768124
400	31267	7766068
401	31345	7765931
402	31413	7763515
